epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03946,1.59185,2.82356,1.76618,0.0043,0.86772,0.34643,0.19147,1.07226,2.90086,1.48516,0.00014,0.00014,0.00014
2,8.12879,1.18315,2.07556,1.42198,0.72497,0.43915,0.5785,0.33827,1.20556,2.65562,1.52742,0.00029406,0.00029406,0.00029406
3,11.0431,1.24923,1.63991,1.47056,0.91906,0.3004,0.63614,0.40399,1.22814,2.65636,1.62696,0.000441784,0.000441784,0.000441784
4,13.9572,1.15072,1.52052,1.39525,0.9002,0.40741,0.61561,0.39481,1.26628,2.5137,1.70763,0.000583172,0.000583172,0.000583172
5,16.84,1.09567,1.40684,1.37521,0.65357,0.54901,0.58689,0.38202,1.37476,2.26537,1.79568,0.000718224,0.000718224,0.000718224
6,19.8135,1.2028,1.46028,1.42361,0.67,0.52639,0.5819,0.38058,1.43831,2.30423,1.9748,0.00084694,0.00084694,0.00084694
7,22.6722,1.13738,1.37957,1.35357,0.55059,0.45503,0.43367,0.28783,1.42225,2.44309,1.916,0.00096932,0.00096932,0.00096932
8,25.6935,1.11536,1.30432,1.36068,0.74092,0.58201,0.66424,0.43357,1.30345,2.08719,1.74721,0.00108536,0.00108536,0.00108536
9,28.6073,1.13151,1.26422,1.33746,0.59755,0.61376,0.61156,0.38554,1.42142,2.31834,1.94013,0.00119507,0.00119507,0.00119507
10,31.4611,1.13728,1.36088,1.42133,0.65193,0.69841,0.6707,0.41961,1.38034,2.26476,1.94853,0.00129844,0.00129844,0.00129844
11,34.3023,1.12521,1.32382,1.35894,0.68345,0.57672,0.61966,0.37028,1.39766,2.30435,1.93788,0.00139548,0.00139548,0.00139548
12,37.2929,1.16998,1.22806,1.36843,0.67164,0.64934,0.62641,0.34294,1.4904,2.95247,2.2221,0.00148618,0.00148618,0.00148618
13,40.4076,1.19518,1.25403,1.37244,0.67648,0.59788,0.61222,0.34338,1.48759,3.05249,2.05012,0.0015248,0.0015248,0.0015248
14,43.2883,1.18085,1.26872,1.35838,0.64399,0.55511,0.58005,0.36211,1.43538,2.21501,1.75672,0.0014852,0.0014852,0.0014852
15,46.2159,1.09057,1.1808,1.33962,0.61029,0.67725,0.61304,0.35292,1.40022,2.61432,1.70969,0.0014456,0.0014456,0.0014456
16,49.2002,1.17761,1.20497,1.36783,0.80053,0.68783,0.76467,0.48507,1.26115,1.91628,1.58483,0.001406,0.001406,0.001406
17,51.9556,1.13284,1.16599,1.33415,0.79701,0.69841,0.79064,0.51164,1.27249,1.62433,1.58748,0.0013664,0.0013664,0.0013664
18,54.7457,1.03862,1.03585,1.28794,0.80064,0.74074,0.77529,0.5063,1.25807,1.64647,1.59955,0.0013268,0.0013268,0.0013268
19,57.6106,1.17474,1.14205,1.33727,0.87517,0.7037,0.81005,0.56154,1.12103,1.39567,1.50216,0.0012872,0.0012872,0.0012872
20,60.399,1.14809,1.15438,1.31077,0.90425,0.71429,0.84325,0.56344,1.16274,1.27691,1.51953,0.0012476,0.0012476,0.0012476
21,63.2072,1.04746,1.03046,1.26206,0.82212,0.7619,0.83266,0.55957,1.17585,1.23052,1.52044,0.001208,0.001208,0.001208
22,65.96,1.0251,0.98732,1.24306,0.87783,0.73545,0.85067,0.56705,1.21645,1.1537,1.66028,0.0011684,0.0011684,0.0011684
23,68.7713,1.04216,1.01573,1.25778,0.8583,0.88889,0.92581,0.62113,1.11409,1.0128,1.47293,0.0011288,0.0011288,0.0011288
24,71.5952,1.05538,0.96935,1.27642,0.90945,0.8836,0.92727,0.61506,1.12279,0.98493,1.4439,0.0010892,0.0010892,0.0010892
25,74.4498,0.99923,0.93132,1.27021,0.89492,0.81115,0.89512,0.57542,1.21592,0.97813,1.57744,0.0010496,0.0010496,0.0010496
26,77.313,0.97018,0.90358,1.23502,0.9031,0.88765,0.93808,0.64476,1.11209,0.86013,1.44973,0.00101,0.00101,0.00101
27,80.1967,1.02295,0.92299,1.24907,0.87968,0.88973,0.94798,0.62316,1.1524,0.92256,1.44703,0.0009704,0.0009704,0.0009704
28,83.0078,1.08584,1.01294,1.28886,0.94724,0.85503,0.95206,0.65239,1.04775,0.87455,1.35773,0.0009308,0.0009308,0.0009308
29,85.9487,0.97753,0.87145,1.244,0.91816,0.89042,0.94799,0.66225,1.01341,0.87596,1.3248,0.0008912,0.0008912,0.0008912
30,88.8507,0.89755,0.85756,1.17861,0.93592,0.85007,0.93703,0.64338,1.02697,0.85967,1.33986,0.0008516,0.0008516,0.0008516
31,91.8354,0.92337,0.83439,1.1762,0.90271,0.8836,0.93595,0.68282,0.96437,0.78598,1.25831,0.000812,0.000812,0.000812
32,94.7565,0.8943,0.77776,1.15581,0.93364,0.89327,0.95537,0.72201,0.88103,0.73754,1.19226,0.0007724,0.0007724,0.0007724
33,97.6786,0.97136,0.82642,1.22217,0.93886,0.89375,0.95945,0.71479,0.87897,0.748,1.20408,0.0007328,0.0007328,0.0007328
34,100.683,0.89569,0.82735,1.19791,0.88174,0.89418,0.95919,0.70727,0.89292,0.77914,1.21854,0.0006932,0.0006932,0.0006932
35,103.571,0.92108,0.79687,1.17027,0.91352,0.89423,0.95927,0.717,0.88566,0.76523,1.22325,0.0006536,0.0006536,0.0006536
36,106.523,0.86312,0.74387,1.1813,0.92339,0.89947,0.95306,0.7031,0.90002,0.73223,1.24585,0.000614,0.000614,0.000614
37,109.536,0.88567,0.75379,1.14053,0.93405,0.8992,0.96772,0.71574,0.88357,0.69447,1.22611,0.0005744,0.0005744,0.0005744
38,112.372,0.85845,0.72157,1.15528,0.97111,0.88935,0.97344,0.72592,0.82183,0.6337,1.14605,0.0005348,0.0005348,0.0005348
39,115.159,0.85291,0.71426,1.16384,0.95846,0.91534,0.97558,0.75487,0.77719,0.59698,1.11512,0.0004952,0.0004952,0.0004952
40,118.074,0.84074,0.70493,1.13415,0.9565,0.93062,0.97762,0.7711,0.78276,0.58773,1.12651,0.0004556,0.0004556,0.0004556
41,121.967,0.89111,1.05441,1.24986,0.97994,0.89947,0.97998,0.77119,0.78376,0.59412,1.12332,0.000416,0.000416,0.000416
42,124.933,0.82411,0.88182,1.20474,0.94724,0.93122,0.98147,0.75329,0.82337,0.66969,1.14934,0.0003764,0.0003764,0.0003764
43,127.962,0.83763,0.8369,1.21582,0.91183,0.95238,0.98101,0.75589,0.8008,0.72181,1.13747,0.0003368,0.0003368,0.0003368
44,131.007,0.79676,0.8118,1.16284,0.93214,0.95238,0.98006,0.78663,0.71376,0.6534,1.07558,0.0002972,0.0002972,0.0002972
45,134.279,0.76236,0.78046,1.12693,0.94953,0.96296,0.984,0.79571,0.70588,0.60264,1.06081,0.0002576,0.0002576,0.0002576
46,137.463,0.74696,0.69349,1.14886,0.96804,0.96156,0.98834,0.80411,0.68644,0.57413,1.04572,0.000218,0.000218,0.000218
47,140.519,0.71781,0.71333,1.08769,0.97334,0.96587,0.99112,0.81884,0.6595,0.54924,1.029,0.0001784,0.0001784,0.0001784
48,143.473,0.73995,0.70055,1.1589,0.97566,0.96296,0.99165,0.82147,0.65446,0.54055,1.02473,0.0001388,0.0001388,0.0001388
49,146.423,0.68708,0.63596,1.06475,0.97282,0.95767,0.99125,0.81936,0.64577,0.53413,1.02239,9.92e-05,9.92e-05,9.92e-05
50,149.409,0.72241,0.67904,1.08956,0.97815,0.94756,0.99051,0.81785,0.63924,0.52946,1.01741,5.96e-05,5.96e-05,5.96e-05
