epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6827,1.90199,2.29793,1.63048,0.77486,0.83333,0.86335,0.43679,1.61809,1.28571,1.32099,0.00065,0.00065,0.00065
2,38.913,1.6209,1.4567,1.37847,0.81307,0.74562,0.83426,0.3854,1.73774,1.49792,1.4805,0.0012963,0.0012963,0.0012963
3,54.891,1.54499,1.32194,1.34708,0.84726,0.70439,0.8344,0.43125,1.57713,1.31366,1.36476,0.00192197,0.00192197,0.00192197
4,70.0606,1.52096,1.24263,1.35418,0.85131,0.77248,0.86231,0.48611,1.45781,1.28021,1.34852,0.00190719,0.00190719,0.00190719
5,85.3796,1.46563,1.10954,1.3046,0.80232,0.7151,0.78345,0.42488,1.55112,1.45074,1.40057,0.00187625,0.00187625,0.00187625
6,100.739,1.44312,1.03999,1.31571,0.89737,0.87433,0.93645,0.56941,1.32529,1.03509,1.23247,0.00184531,0.00184531,0.00184531
7,115.731,1.39981,0.98527,1.28349,0.97415,0.95719,0.98529,0.59319,1.29595,0.7958,1.24663,0.00181438,0.00181438,0.00181438
8,135.729,1.41164,0.94869,1.28282,0.91857,0.91587,0.96495,0.57063,1.39178,0.84552,1.34546,0.00178344,0.00178344,0.00178344
9,155.891,1.40791,0.96113,1.28828,0.95869,0.94762,0.98888,0.6221,1.25015,0.74029,1.22266,0.0017525,0.0017525,0.0017525
10,178.335,1.37341,0.91388,1.27207,0.98221,0.97619,0.99296,0.60654,1.28116,0.78654,1.22017,0.00172156,0.00172156,0.00172156
11,199.899,1.32943,0.85545,1.23144,0.96696,0.97545,0.98898,0.6462,1.18831,0.69424,1.14751,0.00169063,0.00169063,0.00169063
12,221.684,1.34218,0.83296,1.23384,0.94167,0.97778,0.98857,0.62803,1.19803,0.77547,1.19544,0.00165969,0.00165969,0.00165969
