epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.8437,1.21551,2.83561,1.52716,0.00447,0.94242,0.46899,0.34321,0.84327,2.74745,1.46626,0.00021671,0.00021671,0.00021671
2,10.7284,0.98541,1.90525,1.35489,0.85344,0.12709,0.46776,0.29654,1.16195,2.54522,1.91148,0.000441178,0.000441178,0.000441178
3,16.3715,1.01549,1.65334,1.37392,0.6361,0.57834,0.61926,0.41183,1.08659,2.07939,1.72972,0.000656405,0.000656405,0.000656405
4,22.2807,1.03197,1.58502,1.361,0.59656,0.46121,0.50621,0.31768,1.21621,2.10524,1.74196,0.000862389,0.000862389,0.000862389
5,28.3751,0.9912,1.57771,1.35004,0.52397,0.66014,0.60686,0.4125,1.09079,1.97265,1.67199,0.00105913,0.00105913,0.00105913
6,34.3737,0.98155,1.44118,1.32689,0.64859,0.59793,0.62658,0.39687,1.36573,1.83804,2.03925,0.00124663,0.00124663,0.00124663
7,40.6715,0.98805,1.44093,1.34213,0.64295,0.66298,0.65048,0.38511,1.37105,1.76171,2.05878,0.00142489,0.00142489,0.00142489
8,45.264,0.98883,1.35345,1.32267,0.78774,0.63612,0.70946,0.48342,1.16788,1.58605,1.81659,0.00143595,0.00143595,0.00143595
9,50.0619,1.03837,1.32354,1.36359,0.71173,0.57028,0.64862,0.36317,1.38953,1.92132,1.95559,0.00140295,0.00140295,0.00140295
10,56.2143,0.96205,1.24612,1.30766,0.56372,0.62981,0.65009,0.44805,1.07002,1.9967,1.64806,0.00136994,0.00136994,0.00136994
11,61.4126,0.99109,1.21982,1.31743,0.8272,0.72279,0.79281,0.59065,0.9817,1.45805,1.53071,0.00133693,0.00133693,0.00133693
12,66.0647,0.96832,1.22484,1.3104,0.7475,0.66285,0.78292,0.53911,1.10534,1.50376,1.66697,0.00130393,0.00130393,0.00130393
13,70.6305,0.92272,1.10267,1.2562,0.72768,0.66753,0.7212,0.51594,1.00142,1.82186,1.51904,0.00127092,0.00127092,0.00127092
14,75.3201,0.94159,1.11882,1.30305,0.77186,0.76088,0.78819,0.57724,0.96217,1.34595,1.51478,0.00123791,0.00123791,0.00123791
15,79.8855,0.92105,1.13162,1.29679,0.59457,0.65399,0.66495,0.4717,1.00427,1.80423,1.50596,0.00120491,0.00120491,0.00120491
16,84.3934,0.93548,1.09711,1.30844,0.84242,0.81292,0.88745,0.63776,0.99789,1.07531,1.46859,0.0011719,0.0011719,0.0011719
17,89.0751,0.91202,1.03768,1.26533,0.74497,0.61252,0.74767,0.52958,1.02185,1.39432,1.47779,0.00113889,0.00113889,0.00113889
18,93.7364,0.88257,1.00885,1.23404,0.72478,0.74353,0.82857,0.58858,1.05701,1.29493,1.58134,0.00110589,0.00110589,0.00110589
19,100.065,0.83314,0.9592,1.22453,0.7462,0.83388,0.85791,0.65596,0.91839,1.10058,1.39458,0.00107288,0.00107288,0.00107288
20,104.665,0.88827,1.0257,1.24262,0.84323,0.86058,0.92343,0.68656,0.93329,0.95044,1.36899,0.00103987,0.00103987,0.00103987
21,109.292,0.88797,0.97994,1.24082,0.8462,0.84877,0.91656,0.67964,0.88592,0.91929,1.34788,0.00100687,0.00100687,0.00100687
22,113.909,0.82327,0.89636,1.20025,0.81857,0.88754,0.92598,0.705,0.91976,0.88991,1.37138,0.000973861,0.000973861,0.000973861
23,118.42,0.82406,0.89574,1.20064,0.88209,0.87391,0.93411,0.75584,0.78507,0.76947,1.24449,0.000940855,0.000940855,0.000940855
24,123.073,0.83047,0.83384,1.2091,0.86272,0.82279,0.90859,0.70792,0.80269,0.98076,1.31454,0.000907848,0.000907848,0.000907848
25,127.666,0.83246,0.90616,1.21736,0.93533,0.85422,0.94482,0.77345,0.73388,0.69305,1.21292,0.000874842,0.000874842,0.000874842
26,132.239,0.81728,0.88891,1.17968,0.84266,0.90579,0.94121,0.7593,0.74686,0.74625,1.21186,0.000841835,0.000841835,0.000841835
27,136.939,0.77527,0.84609,1.17298,0.90378,0.89056,0.95106,0.78919,0.68825,0.66788,1.16372,0.000808828,0.000808828,0.000808828
28,141.562,0.75933,0.79432,1.17588,0.87265,0.90614,0.96333,0.75117,0.80514,0.77298,1.29295,0.000775822,0.000775822,0.000775822
29,146.146,0.79206,0.84207,1.15827,0.87629,0.87598,0.95827,0.7872,0.71107,0.74017,1.17679,0.000742815,0.000742815,0.000742815
30,150.759,0.77921,0.79619,1.15733,0.92686,0.91425,0.97472,0.80044,0.68328,0.62094,1.1488,0.000709809,0.000709809,0.000709809
31,155.349,0.75774,0.7611,1.15481,0.95754,0.91365,0.98121,0.82511,0.65711,0.56337,1.12927,0.000676802,0.000676802,0.000676802
32,159.891,0.77089,0.79093,1.16448,0.94538,0.88962,0.96036,0.78908,0.69692,0.65047,1.18238,0.000643795,0.000643795,0.000643795
33,164.466,0.75051,0.75165,1.14792,0.95841,0.91563,0.98119,0.82081,0.68744,0.56048,1.15366,0.000610789,0.000610789,0.000610789
34,169.108,0.7583,0.72165,1.13841,0.93385,0.90675,0.97736,0.82381,0.64679,0.56501,1.13122,0.000577782,0.000577782,0.000577782
35,173.886,0.7392,0.69368,1.15165,0.91301,0.93736,0.97568,0.82544,0.64574,0.56604,1.1092,0.000544776,0.000544776,0.000544776
36,178.532,0.71524,0.69029,1.12873,0.94376,0.93751,0.97454,0.83619,0.62441,0.52275,1.09465,0.000511769,0.000511769,0.000511769
37,184.182,0.7135,0.6652,1.10974,0.94357,0.9384,0.9832,0.83969,0.62947,0.51732,1.10114,0.000478762,0.000478762,0.000478762
38,188.997,0.6944,0.65384,1.12097,0.91951,0.93142,0.98082,0.84542,0.59756,0.54649,1.06748,0.000445756,0.000445756,0.000445756
39,194.384,0.68209,0.65396,1.08474,0.94356,0.94113,0.98754,0.86087,0.5689,0.48466,1.04733,0.000412749,0.000412749,0.000412749
40,199.081,0.69777,0.67846,1.11238,0.94872,0.97627,0.98532,0.86362,0.54619,0.43967,1.02662,0.000379743,0.000379743,0.000379743
41,205.027,0.61304,0.82367,1.103,0.95902,0.97193,0.98496,0.86597,0.54174,0.45401,1.02393,0.000346736,0.000346736,0.000346736
42,210.35,0.58659,0.71531,1.10452,0.92466,0.95179,0.98104,0.81267,0.6897,0.62154,1.17809,0.000313729,0.000313729,0.000313729
43,216.84,0.59236,0.676,1.11956,0.92342,0.9448,0.98101,0.82471,0.61354,0.60036,1.09621,0.000280723,0.000280723,0.000280723
44,222.401,0.55887,0.61074,1.08361,0.96001,0.96786,0.98661,0.86916,0.5184,0.48715,0.99939,0.000247716,0.000247716,0.000247716
45,227.665,0.54437,0.59486,1.05441,0.96403,0.96578,0.98359,0.85973,0.53647,0.48981,1.01533,0.00021471,0.00021471,0.00021471
46,236.541,0.54325,0.61348,1.04998,0.96143,0.96967,0.98562,0.86415,0.5458,0.46295,1.02287,0.000181703,0.000181703,0.000181703
47,243.82,0.54399,0.56777,1.05516,0.97373,0.96524,0.98863,0.87786,0.52324,0.42689,1.00291,0.000148696,0.000148696,0.000148696
48,254.642,0.52986,0.56266,1.03639,0.96962,0.98117,0.99138,0.88974,0.49812,0.39441,0.9828,0.00011569,0.00011569,0.00011569
49,264.985,0.49641,0.53566,1.0212,0.96819,0.98305,0.99246,0.89183,0.49167,0.38446,0.97926,8.26832e-05,8.26832e-05,8.26832e-05
50,277.398,0.51652,0.51281,1.0302,0.97542,0.97634,0.99346,0.89236,0.48205,0.37567,0.97449,4.96766e-05,4.96766e-05,4.96766e-05
